
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrk,f32_r,f32_r,f32_r,f32_r,f32_r,L,N,512,512,1,512,1,512,1836.08, 21.5306, 73.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrk,f64_r,f64_r,f64_r,f64_r,f64_r,L,N,512,512,1,512,1,512,1008.4, 23.6497, 133.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrk,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,512,512,'(1:0)',512,'(1:0)',512,4107.66, 24.084, 130.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrk,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,512,512,'(1:0)',512,'(1:0)',512,2121.18, 24.8738, 253.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrk,f32_r,f32_r,f32_r,f32_r,f32_r,L,N,1024,1024,1,1024,1,1024,4205.8, 24.6514, 255.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrk,f64_r,f64_r,f64_r,f64_r,f64_r,L,N,1024,1024,1,1024,1,1024,3409.79, 39.9714, 314.9,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrk,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,1024,1024,'(1:0)',1024,'(1:0)',1024,8375.52, 24.5456, 512.8,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrk,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,1024,1024,'(1:0)',1024,'(1:0)',1024,5575.71, 32.6808, 770.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrk,f32_r,f32_r,f32_r,f32_r,f32_r,L,N,1536,1536,1,1536,1,1536,6407.14, 25.0333, 565.6,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
syrk,f64_r,f64_r,f64_r,f64_r,f64_r,L,N,1536,1536,1,1536,1,1536,5996.82, 46.8603, 604.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
