
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,512,512,512,1,512,512,1,512,7101.47, 83.2203, 37.8,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_r,f64_r,f64_r,f64_r,f64_r,N,T,512,512,512,1,512,512,1,512,7872.01, 184.5, 34.1,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_c,f32_c,f32_c,f32_c,f32_c,N,T,512,512,512,'(1:0)',512,512,'(1:0)',512,8184.01, 47.9532, 131.2,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_c,f64_c,f64_c,f64_c,f64_c,N,T,512,512,512,'(1:0)',512,512,'(1:0)',512,10496, 123, 102.3,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,1024,1024,1024,1,1024,1024,1,1024,12434.8, 72.8599, 172.7,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_r,f64_r,f64_r,f64_r,f64_r,N,T,1024,1024,1024,1,1024,1024,1,1024,12859.2, 150.694, 167,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_c,f32_c,f32_c,f32_c,f32_c,N,T,1024,1024,1024,'(1:0)',1024,1024,'(1:0)',1024,13788, 40.3946, 623,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_c,f64_c,f64_c,f64_c,f64_c,N,T,1024,1024,1024,'(1:0)',1024,1024,'(1:0)',1024,13732.9, 80.4663, 625.5,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,1536,1536,1536,1,1536,1536,1,1536,13527, 52.8398, 535.8,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_r,f64_r,f64_r,f64_r,f64_r,N,T,1536,1536,1536,1,1536,1536,1,1536,13693.1, 106.977, 529.3,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_c,f32_c,f32_c,f32_c,f32_c,N,T,1536,1536,1536,'(1:0)',1536,1536,'(1:0)',1536,14217.6, 27.7687, 2039.1,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_c,f64_c,f64_c,f64_c,f64_c,N,T,1536,1536,1536,'(1:0)',1536,1536,'(1:0)',1536,14342.1, 56.0237, 2021.4,
