
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,512,512,'(1:0)',512,512,'(1:0)',512,5130.16, 3.00791e+10, 209.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,512,512,'(1:0)',512,512,'(1:0)',512,4435.12, 5.20079e+10, 242.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,1024,1024,'(1:0)',1024,1024,'(1:0)',1024,10815.8, 3.16973e+10, 794.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,1024,1024,'(1:0)',1024,1024,'(1:0)',1024,6780.81, 3.97443e+10, 1266.8,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,1536,1536,'(1:0)',1536,1536,'(1:0)',1536,13082.6, 2.55575e+10, 2216,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,1536,1536,'(1:0)',1536,1536,'(1:0)',1536,9209.93, 3.59841e+10, 3147.8,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,2048,2048,'(1:0)',2048,2048,'(1:0)',2048,14077.5, 2.06247e+10, 4881.5,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,2048,2048,'(1:0)',2048,2048,'(1:0)',2048,11131.9, 3.26183e+10, 6173.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,2560,2560,'(1:0)',2560,2560,'(1:0)',2560,13765.4, 1.61334e+10, 9750.4,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,2560,2560,'(1:0)',2560,2560,'(1:0)',2560,12231.4, 2.86711e+10, 10973.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,3072,3072,'(1:0)',3072,3072,'(1:0)',3072,16198.9, 1.5821e+10, 14317.5,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,3072,3072,'(1:0)',3072,3072,'(1:0)',3072,12831.6, 2.50644e+10, 18074.8,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,3584,3584,'(1:0)',3584,3584,'(1:0)',3584,16480.5, 1.37964e+10, 22347.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,3584,3584,'(1:0)',3584,3584,'(1:0)',3584,15348, 2.56966e+10, 23996.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,4096,4096,'(1:0)',4096,4096,'(1:0)',4096,16579.4, 1.21441e+10, 33158.9,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,4096,4096,'(1:0)',4096,4096,'(1:0)',4096,17321.5, 2.53753e+10, 31738.4,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,4608,4608,'(1:0)',4608,4608,'(1:0)',4608,18380.9, 1.19676e+10, 42585.4,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,4608,4608,'(1:0)',4608,4608,'(1:0)',4608,17165.1, 2.23521e+10, 45601.6,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,5120,5120,'(1:0)',5120,5120,'(1:0)',5120,19046.8, 1.1161e+10, 56373.8,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,5120,5120,'(1:0)',5120,5120,'(1:0)',5120,17953.2, 2.10403e+10, 59807.8,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,5632,5632,'(1:0)',5632,5632,'(1:0)',5632,18683.3, 9.95264e+09, 76493.4,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,5632,5632,'(1:0)',5632,5632,'(1:0)',5632,18093.6, 1.9277e+10, 78986.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,6144,6144,'(1:0)',6144,6144,'(1:0)',6144,18697.1, 9.12993e+09, 99236.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,6144,6144,'(1:0)',6144,6144,'(1:0)',6144,17926.7, 1.75075e+10, 103501,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,6656,6656,'(1:0)',6656,6656,'(1:0)',6656,18916, 8.52628e+09, 124710,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,6656,6656,'(1:0)',6656,6656,'(1:0)',6656,18349.4, 1.65417e+10, 128561,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,7168,7168,'(1:0)',7168,7168,'(1:0)',7168,18961.8, 7.9364e+09, 155383,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,7168,7168,'(1:0)',7168,7168,'(1:0)',7168,18028.5, 1.50915e+10, 163428,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,7680,7680,'(1:0)',7680,7680,'(1:0)',7680,18884.6, 7.37713e+09, 191896,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,7680,7680,'(1:0)',7680,7680,'(1:0)',7680,17896, 1.39818e+10, 202497,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f32_c,f32_c,f32_c,f32_c,f32_c,L,N,8192,8192,'(1:0)',8192,8192,'(1:0)',8192,18960.2, 6.9437e+09, 231962,
function,a_type,b_type,c_type,d_type,compute_type,uplo,transA,N,K,alpha,lda,ldb,beta,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her2k,f64_c,f64_c,f64_c,f64_c,f64_c,L,N,8192,8192,'(1:0)',8192,8192,'(1:0)',8192,17817.7, 1.30506e+10, 246836,
