
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f32_c,f32_c,f32_c,f32_c,f32_c,14336000,1,1038.84, 1038.84, 110.4,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f64_c,f64_c,f64_c,f64_c,f64_c,14336000,1,569.595, 1139.19, 201.35,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f32_r,f32_r,f32_r,f32_r,f32_r,16384000,1,362.278, 724.555, 90.45,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f64_r,f64_r,f64_r,f64_r,f64_r,16384000,1,240.411, 961.643, 136.3,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f32_c,f32_c,f32_c,f32_c,f32_c,16384000,1,1065.63, 1065.63, 123,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f64_c,f64_c,f64_c,f64_c,f64_c,16384000,1,582.672, 1165.34, 224.95,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f32_r,f32_r,f32_r,f32_r,f32_r,18432000,1,374.444, 748.888, 98.45,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f64_r,f64_r,f64_r,f64_r,f64_r,18432000,1,249.587, 998.348, 147.7,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f32_c,f32_c,f32_c,f32_c,f32_c,18432000,1,1094.29, 1094.29, 134.75,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f64_c,f64_c,f64_c,f64_c,f64_c,18432000,1,592.788, 1185.58, 248.75,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f32_r,f32_r,f32_r,f32_r,f32_r,20480000,1,359.93, 719.859, 113.8,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f64_r,f64_r,f64_r,f64_r,f64_r,20480000,1,256.481, 1025.92, 159.7,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f32_c,f32_c,f32_c,f32_c,f32_c,20480000,1,1119.13, 1119.13, 146.4,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
nrm2,f64_c,f64_c,f64_c,f64_c,f64_c,20480000,1,603.573, 1207.15, 271.45,
