
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,2048000,1,1,1,311.483, 1868.9, 13.15,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f64_r,f64_r,f64_r,f64_r,f64_r,2048000,1,1,1,123.746, 1484.95, 33.1,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,2048000,'(1:0)',1,1,395.749, 1187.25, 41.4,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,2048000,'(1:0)',1,1,211.134, 1266.8, 77.6,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,4096000,1,1,1,232.068, 1392.41, 35.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f64_r,f64_r,f64_r,f64_r,f64_r,4096000,1,1,1,106.875, 1282.5, 76.65,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,4096000,'(1:0)',1,1,428.34, 1285.02, 76.5,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,4096000,'(1:0)',1,1,223.139, 1338.84, 146.85,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,6144000,1,1,1,207.043, 1242.26, 59.35,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f64_r,f64_r,f64_r,f64_r,f64_r,6144000,1,1,1,110.404, 1324.85, 111.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,6144000,'(1:0)',1,1,441.816, 1325.45, 111.25,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,6144000,'(1:0)',1,1,225.313, 1351.88, 218.15,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,8192000,1,1,1,210.862, 1265.17, 77.7,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f64_r,f64_r,f64_r,f64_r,f64_r,8192000,1,1,1,111.646, 1339.75, 146.75,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f32_c,f32_c,f32_c,f32_c,f32_c,8192000,'(1:0)',1,1,446.735, 1340.2, 146.7,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f64_c,f64_c,f64_c,f64_c,f64_c,8192000,'(1:0)',1,1,227.319, 1363.91, 288.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
axpy,f32_r,f32_r,f32_r,f32_r,f32_r,10240000,1,1,1,215.692, 1294.15, 94.95,
