
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f32_r,f32_r,f32_r,f32_r,f32_r,2048000,2,1,192.3, 1538.4, 10.65,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f64_r,f64_r,f64_r,f64_r,f64_r,2048000,2,1,158.76, 2540.16, 12.9,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f32_c,f32_c,f32_c,f32_c,f32_c,2048000,'(2:0)',1,945.231, 2520.62, 13,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f64_c,f64_c,f64_c,f64_c,f64_c,2048000,'(2:0)',1,247.243, 1318.63, 49.7,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f32_r,f32_r,f32_r,f32_r,f32_r,4096000,2,1,234.057, 1872.46, 17.5,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f64_r,f64_r,f64_r,f64_r,f64_r,4096000,2,1,82.5806, 1321.29, 49.6,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f32_c,f32_c,f32_c,f32_c,f32_c,4096000,'(2:0)',1,492.999, 1314.66, 49.85,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f64_c,f64_c,f64_c,f64_c,f64_c,4096000,'(2:0)',1,245.269, 1308.1, 100.2,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f32_r,f32_r,f32_r,f32_r,f32_r,6144000,2,1,203.107, 1624.86, 30.25,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f64_r,f64_r,f64_r,f64_r,f64_r,6144000,2,1,72.9691, 1167.51, 84.2,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f32_c,f32_c,f32_c,f32_c,f32_c,6144000,'(2:0)',1,480, 1280, 76.8,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f64_c,f64_c,f64_c,f64_c,f64_c,6144000,'(2:0)',1,249.841, 1332.48, 147.55,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f32_r,f32_r,f32_r,f32_r,f32_r,8192000,2,1,154.712, 1237.7, 52.95,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
scal,f64_r,f64_r,f64_r,f64_r,f64_r,8192000,2,1,81.7157, 1307.45, 100.25,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,hipblas-Gflops,hipblas-GB/s,hipblas-us,
