
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f64_r,f64_r,f64_r,f64_r,f64_r,14336000,1,1,163.653, 1309.22, 175.2,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f32_c,f32_c,f32_c,f32_c,f32_c,14336000,1,1,655.36, 1310.72, 175,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f64_c,f64_c,f64_c,f64_c,f64_c,14336000,1,1,338.462, 1353.85, 338.85,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f32_r,f32_r,f32_r,f32_r,f32_r,16384000,1,1,304.96, 1219.84, 107.45,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f64_r,f64_r,f64_r,f64_r,f64_r,16384000,1,1,165.245, 1321.96, 198.3,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f32_c,f32_c,f32_c,f32_c,f32_c,16384000,1,1,659.316, 1318.63, 198.8,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f64_c,f64_c,f64_c,f64_c,f64_c,16384000,1,1,341.378, 1365.51, 383.95,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f32_r,f32_r,f32_r,f32_r,f32_r,18432000,1,1,308.744, 1234.97, 119.4,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f64_r,f64_r,f64_r,f64_r,f64_r,18432000,1,1,167.032, 1336.26, 220.7,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f32_c,f32_c,f32_c,f32_c,f32_c,18432000,1,1,665.265, 1330.53, 221.65,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f64_c,f64_c,f64_c,f64_c,f64_c,18432000,1,1,343.16, 1372.64, 429.7,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f32_r,f32_r,f32_r,f32_r,f32_r,20480000,1,1,312.911, 1251.64, 130.9,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f64_r,f64_r,f64_r,f64_r,f64_r,20480000,1,1,168.386, 1347.09, 243.25,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f32_c,f32_c,f32_c,f32_c,f32_c,20480000,1,1,670.514, 1341.03, 244.35,
function,a_type,b_type,c_type,d_type,compute_type,N,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
dot,f64_c,f64_c,f64_c,f64_c,f64_c,20480000,1,1,343.985, 1375.94, 476.3,
