Query device success: there are 8 devices
Device ID 0 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 1 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 2 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 3 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 4 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 5 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 6 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------
Device ID 7 :  ------------------------------------------------------
with 68.7 GB memory, clock rate 1700MHz @ computing capability 9.0
maxGridDimX 2147483647, sharedMemPerBlock 65.5 KB, maxThreadsPerBlock 1024, warpSize 64
-------------------------------------------------------------------------

function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,512,512,512,1,512,512,1,512,12313.6, 144.299, 21.8,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_r,f64_r,f64_r,f64_r,f64_r,N,T,512,512,512,1,512,512,1,512,2953.09, 69.2129, 90.9,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_c,f32_c,f32_c,f32_c,f32_c,N,T,512,512,512,'(1:0)',512,512,'(1:0)',512,19737.9, 115.652, 54.4,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_c,f64_c,f64_c,f64_c,f64_c,N,T,512,512,512,'(1:0)',512,512,'(1:0)',512,15836.9, 185.589, 67.8,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,1024,1024,1024,1,1024,1024,1,1024,24375.5, 142.825, 88.1,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_r,f64_r,f64_r,f64_r,f64_r,N,T,1024,1024,1024,1,1024,1024,1,1024,12813.1, 150.154, 167.6,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_c,f32_c,f32_c,f32_c,f32_c,N,T,1024,1024,1024,'(1:0)',1024,1024,'(1:0)',1024,23637.7, 69.251, 363.4,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_c,f64_c,f64_c,f64_c,f64_c,N,T,1024,1024,1024,'(1:0)',1024,1024,'(1:0)',1024,26471.3, 155.105, 324.5,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,1536,1536,1536,1,1536,1536,1,1536,27918.9, 109.058, 259.6,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_r,f64_r,f64_r,f64_r,f64_r,N,T,1536,1536,1536,1,1536,1536,1,1536,25439.7, 198.747, 284.9,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_c,f32_c,f32_c,f32_c,f32_c,N,T,1536,1536,1536,'(1:0)',1536,1536,'(1:0)',1536,28018.8, 54.7242, 1034.7,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_c,f64_c,f64_c,f64_c,f64_c,N,T,1536,1536,1536,'(1:0)',1536,1536,'(1:0)',1536,28317.1, 110.614, 1023.8,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,2048,2048,2048,1,2048,2048,1,2048,30766.2, 90.1355, 558.4,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_r,f64_r,f64_r,f64_r,f64_r,N,T,2048,2048,2048,1,2048,2048,1,2048,24347.9, 142.663, 705.6,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_c,f32_c,f32_c,f32_c,f32_c,N,T,2048,2048,2048,'(1:0)',2048,2048,'(1:0)',2048,30585.5, 44.803, 2246.8,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_c,f64_c,f64_c,f64_c,f64_c,N,T,2048,2048,2048,'(1:0)',2048,2048,'(1:0)',2048,29663.9, 86.9061, 2316.6,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,2560,2560,2560,1,2560,2560,1,2560,31856.5, 74.6636, 1053.3,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_r,f64_r,f64_r,f64_r,f64_r,N,T,2560,2560,2560,1,2560,2560,1,2560,28913.8, 135.533, 1160.5,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_c,f32_c,f32_c,f32_c,f32_c,N,T,2560,2560,2560,'(1:0)',2560,2560,'(1:0)',2560,30867.4, 36.1728, 4348.2,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_c,f64_c,f64_c,f64_c,f64_c,N,T,2560,2560,2560,'(1:0)',2560,2560,'(1:0)',2560,31292, 73.3407, 4289.2,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,3072,3072,3072,1,3072,3072,1,3072,33376.7, 65.1889, 1737.2,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_r,f64_r,f64_r,f64_r,f64_r,N,T,3072,3072,3072,1,3072,3072,1,3072,31993.6, 124.975, 1812.3,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_c,f32_c,f32_c,f32_c,f32_c,N,T,3072,3072,3072,'(1:0)',3072,3072,'(1:0)',3072,24828.8, 24.2469, 9341.1,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_c,f64_c,f64_c,f64_c,f64_c,N,T,3072,3072,3072,'(1:0)',3072,3072,'(1:0)',3072,32149.7, 62.7925, 7214,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,3584,3584,3584,1,3584,3584,1,3584,31978.8, 53.5359, 2879.2,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_r,f64_r,f64_r,f64_r,f64_r,N,T,3584,3584,3584,1,3584,3584,1,3584,30949, 103.624, 2975,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_c,f32_c,f32_c,f32_c,f32_c,N,T,3584,3584,3584,'(1:0)',3584,3584,'(1:0)',3584,30058.6, 25.1607, 12252.5,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f64_c,f64_c,f64_c,f64_c,f64_c,N,T,3584,3584,3584,'(1:0)',3584,3584,'(1:0)',3584,31823.8, 53.2764, 11572.9,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
gemm,f32_r,f32_r,f32_r,f32_r,f32_r,N,T,4096,4096,4096,1,4096,4096,1,4096,32934.5, 48.2439, 4173.1,
function,a_type,b_type,c_type,d_type,compute_type,transA,transB,M,N,K,alpha,lda,ldb,beta,ldc,hipblas-Gflops,hipblas-GB/s,hipblas-us,
