
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f32_c,f32_c,f32_c,f32_c,f32_c,2048,'(1:0)',1,1,219.992, 110.211, 152.6,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f64_c,f64_c,f64_c,f64_c,f64_c,2048,'(1:0)',1,1,35.92, 35.9901, 934.6,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f32_c,f32_c,f32_c,f32_c,f32_c,4096,'(1:0)',1,1,151.764, 75.9561, 884.6,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f64_c,f64_c,f64_c,f64_c,f64_c,4096,'(1:0)',1,1,37.6168, 37.6535, 3568.9,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f32_c,f32_c,f32_c,f32_c,f32_c,6144,'(1:0)',1,1,156.554, 78.3278, 1929.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f64_c,f64_c,f64_c,f64_c,f64_c,6144,'(1:0)',1,1,38.2987, 38.3237, 7886.4,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f32_c,f32_c,f32_c,f32_c,f32_c,8192,'(1:0)',1,1,159.428, 79.7528, 3367.9,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f64_c,f64_c,f64_c,f64_c,f64_c,8192,'(1:0)',1,1,43.184, 43.205, 12433.7,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f32_c,f32_c,f32_c,f32_c,f32_c,10240,'(1:0)',1,1,160.588, 80.3253, 5224.2,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f64_c,f64_c,f64_c,f64_c,f64_c,10240,'(1:0)',1,1,43.0185, 43.0353, 19501.9,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f32_c,f32_c,f32_c,f32_c,f32_c,12288,'(1:0)',1,1,161.57, 80.8112, 7477,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f64_c,f64_c,f64_c,f64_c,f64_c,12288,'(1:0)',1,1,46.0295, 46.0445, 26245.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f32_c,f32_c,f32_c,f32_c,f32_c,14336,'(1:0)',1,1,175.688, 87.8685, 9359.1,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f64_c,f64_c,f64_c,f64_c,f64_c,14336,'(1:0)',1,1,46.4143, 46.4272, 35426.2,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f32_c,f32_c,f32_c,f32_c,f32_c,16384,'(1:0)',1,1,171.416, 85.7287, 12528.7,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f64_c,f64_c,f64_c,f64_c,f64_c,16384,'(1:0)',1,1,46.3174, 46.3287, 46367.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f32_c,f32_c,f32_c,f32_c,f32_c,18432,'(1:0)',1,1,172.397, 86.217, 15766.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f64_c,f64_c,f64_c,f64_c,f64_c,18432,'(1:0)',1,1,46.2772, 46.2872, 58734.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f32_c,f32_c,f32_c,f32_c,f32_c,20480,'(1:0)',1,1,181.509, 90.7721, 18487.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,incx,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hpr2,f64_c,f64_c,f64_c,f64_c,f64_c,20480,'(1:0)',1,1,46.1833, 46.1923, 72658.5,
