
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,2048,1,1,2048,847.334, 848.575, 19.8,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,2048,1,1,2048,308.405, 617.713, 54.4,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,4096,1,1,4096,583.048, 583.475, 115.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,4096,1,1,4096,316.402, 633.267, 212.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,6144,1,1,6144,601.573, 601.867, 251,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,6144,1,1,6144,321.745, 643.804, 469.3,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,8192,1,1,8192,612.168, 612.392, 438.5,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,8192,1,1,8192,333.088, 666.42, 805.9,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,10240,1,1,10240,605.938, 606.116, 692.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,10240,1,1,10240,306.355, 612.889, 1369.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,12288,1,1,12288,621.762, 621.914, 971.4,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,12288,1,1,12288,331.493, 663.147, 1822,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,14336,1,1,14336,637.67, 637.803, 1289.2,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,14336,1,1,14336,332.195, 664.53, 2474.7,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,16384,1,1,16384,649.532, 649.651, 1653.1,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,16384,1,1,16384,335.272, 670.667, 3202.6,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,18432,1,1,18432,644.207, 644.312, 2109.5,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,18432,1,1,18432,331.776, 663.66, 4096,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f32_c,f32_c,f32_c,f32_c,f32_c,L,20480,1,1,20480,615.474, 615.565, 2725.9,
function,a_type,b_type,c_type,d_type,compute_type,uplo,N,alpha,incx,lda,hipblas-Gflops,hipblas-GB/s,hipblas-us,
her,f64_c,f64_c,f64_c,f64_c,f64_c,L,20480,1,1,20480,270.981, 542.04, 6191.3,
