
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f32_c,f32_c,f32_c,f32_c,f32_c,2048,'(1:0)',2048,1,'(1:0)',1,788.047, 395.177, 42.6,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f64_c,f64_c,f64_c,f64_c,f64_c,2048,'(1:0)',2048,1,'(1:0)',1,422.274, 423.511, 79.5,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f32_c,f32_c,f32_c,f32_c,f32_c,4096,'(1:0)',4096,1,'(1:0)',1,942.77, 472.076, 142.4,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f64_c,f64_c,f64_c,f64_c,f64_c,4096,'(1:0)',4096,1,'(1:0)',1,750.422, 751.521, 178.9,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f32_c,f32_c,f32_c,f32_c,f32_c,6144,'(1:0)',6144,1,'(1:0)',1,1352.62, 676.968, 223.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f64_c,f64_c,f64_c,f64_c,f64_c,6144,'(1:0)',6144,1,'(1:0)',1,989.319, 990.285, 305.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f32_c,f32_c,f32_c,f32_c,f32_c,8192,'(1:0)',8192,1,'(1:0)',1,1640, 820.601, 327.4,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f64_c,f64_c,f64_c,f64_c,f64_c,8192,'(1:0)',8192,1,'(1:0)',1,1091.11, 1091.91, 492.1,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f32_c,f32_c,f32_c,f32_c,f32_c,10240,'(1:0)',10240,1,'(1:0)',1,1876.41, 938.754, 447.1,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f64_c,f64_c,f64_c,f64_c,f64_c,10240,'(1:0)',10240,1,'(1:0)',1,1195.08, 1195.78, 702,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f32_c,f32_c,f32_c,f32_c,f32_c,12288,'(1:0)',12288,1,'(1:0)',1,2070.36, 1035.69, 583.5,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f64_c,f64_c,f64_c,f64_c,f64_c,12288,'(1:0)',12288,1,'(1:0)',1,1262.73, 1263.35, 956.7,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f32_c,f32_c,f32_c,f32_c,f32_c,14336,'(1:0)',14336,1,'(1:0)',1,2206.2, 1103.56, 745.3,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f64_c,f64_c,f64_c,f64_c,f64_c,14336,'(1:0)',14336,1,'(1:0)',1,1344.69, 1345.25, 1222.8,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f32_c,f32_c,f32_c,f32_c,f32_c,16384,'(1:0)',16384,1,'(1:0)',1,2342.77, 1171.81, 916.7,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f64_c,f64_c,f64_c,f64_c,f64_c,16384,'(1:0)',16384,1,'(1:0)',1,1360.02, 1360.52, 1579.1,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f32_c,f32_c,f32_c,f32_c,f32_c,18432,'(1:0)',18432,1,'(1:0)',1,2425.75, 1213.27, 1120.5,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f64_c,f64_c,f64_c,f64_c,f64_c,18432,'(1:0)',18432,1,'(1:0)',1,1389.74, 1390.19, 1955.8,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f32_c,f32_c,f32_c,f32_c,f32_c,20480,'(1:0)',20480,1,'(1:0)',1,2482.33, 1241.53, 1351.8,
function,a_type,b_type,c_type,d_type,compute_type,N,alpha,lda,incx,beta,incy,hipblas-Gflops,hipblas-GB/s,hipblas-us,
hemv,f64_c,f64_c,f64_c,f64_c,f64_c,20480,'(1:0)',20480,1,'(1:0)',1,1209.84, 1210.19, 2773.6,
